,Tenor,OIS Product,OIS Rate,OIS Forward Rate,OIS Discount Factor,LIBOR Product,LIBOR Rate,LIBOR Forward Rate,LIBOR Discount Factor
0,0.5,OIS,0.0025,0.0024984474705913584,0.9987515605493182,LIBOR,0.025,0.025,0.9876543209876544
1,1.0,OIS,0.003,0.0034925961005694006,0.997008973080781,IRS,0.028,0.03100524344569288,0.9725768302912442
2,1.5,OIS,0.003125,0.0034936872418667164,0.9952698594970368,IRS,0.028999999999999998,0.03175112388229126,0.9573779178552482
3,2.0,OIS,0.00325,0.0034947783831640322,0.9935307459132926,IRS,0.03,0.0322633222531485,0.942179005419252
4,2.5,OIS,0.0033,0.003519783622922823,0.9917729435658023,IRS,0.03075,0.0342183285835556,0.9263302686642291
5,3.0,OIS,0.00335,0.0035447888626816138,0.9900151412183118,IRS,0.0315,0.03481396645528755,0.9104815319092061
6,3.5,OIS,0.003425,0.003745197025866176,0.9880658954667941,IRS,0.032,0.035207061552824485,0.8947311053593986
7,4.0,OIS,0.0035,0.003945605189050738,0.9861166497152765,IRS,0.0325,0.03583793575790179,0.8789806788095911
8,4.5,OIS,0.00355,0.003970747776742556,0.9841503847242603,IRS,0.03275,0.03471286027216357,0.8639849837996487
9,5.0,OIS,0.0036,0.0039958903644343735,0.982184119733244,IRS,0.033,0.035325993408749964,0.8489892887897065
10,5.5,OIS,0.0037,0.004493106618324028,0.9797395334485197,IRS,0.0335,0.038888933828483685,0.8327960142444184
11,6.0,OIS,0.0038,0.004990322872213682,0.9772949471637955,IRS,0.034,0.039660103396798416,0.8166027396991302
12,6.5,OIS,0.0039,0.005002837009060457,0.9748503608790713,IRS,0.0345,0.0404624763955675,0.8004094651538421
13,7.0,OIS,0.004,0.005015351145907232,0.9724057745943471,IRS,0.035,0.04129798578303272,0.7842161906085541
14,7.5,OIS,0.004083333333333333,0.005331507192449791,0.9696676252496603,IRS,0.035333333333333335,0.03966623088555296,0.7689652147332697
15,8.0,OIS,0.004166666666666667,0.005647663238992351,0.9669294759049737,IRS,0.035666666666666666,0.04046885434562638,0.7537142388579855
16,8.5,OIS,0.00425,0.005663701912901331,0.964191326560287,IRS,0.036000000000000004,0.04130462987064424,0.7384632629827012
17,9.0,OIS,0.004333333333333333,0.005679740586810311,0.9614531772156003,IRS,0.036333333333333336,0.0421756547756749,0.7232122871074168
18,9.5,OIS,0.004416666666666666,0.005695962493468265,0.9587150278709136,IRS,0.03666666666666667,0.043084207098101186,0.7079613112321326
19,10.0,OIS,0.0045,0.005712184400126219,0.9559768785262269,IRS,0.037,0.044032765491878616,0.6927103353568482
20,10.5,OIS,0.004549999999999999,0.005832119548898618,0.9531403386341394,IRS,0.0373,0.04174495278205811,0.6785473713677794
21,11.0,OIS,0.0046,0.0059520546976710165,0.9503037987420518,IRS,0.0376,0.042634847632707244,0.6643844073787105
22,11.5,OIS,0.00465,0.005969874291351651,0.9474672588499643,IRS,0.037899999999999996,0.043563509426070506,0.6502214433896416
23,12.0,OIS,0.0047,0.005987693885032286,0.9446307189578768,IRS,0.0382,0.04453352780522981,0.6360584794005728
24,12.5,OIS,0.00475,0.006005728161984081,0.9417941790657892,IRS,0.0385,0.04554772831798687,0.621895515411504
25,13.0,OIS,0.0048,0.006023762438935876,0.9389576391737017,IRS,0.0388,0.04660919990518734,0.6077325514224351
26,13.5,OIS,0.00485,0.006042015302356596,0.9361210992816141,IRS,0.0391,0.04772132632438429,0.5935695874333662
27,14.0,OIS,0.0049,0.006060268165777316,0.9332845593895266,IRS,0.0394,0.048887822182206685,0.5794066234442974
28,14.5,OIS,0.00495,0.006078743613948667,0.930448019497439,IRS,0.0397,0.05011277438377214,0.5652436594552286
29,15.0,OIS,0.005,0.006097219062120018,0.9276114796053515,IRS,0.04,0.051400689973683245,0.5510806954661597
30,15.5,OIS,0.005025,0.006025915655221148,0.9248579253489524,IRS,0.0405,0.05322824366585123,0.5367943843225685
31,16.0,OIS,0.00505,0.005954612248322277,0.9221043710925533,IRS,0.041,0.0546835996491778,0.5225080731789773
32,16.5,OIS,0.0050750000000000005,0.005972447205113696,0.9193508168361542,IRS,0.0415,0.056220776876518,0.5082217620353862
33,17.0,OIS,0.0051,0.005990282161905114,0.916597262579755,IRS,0.042,0.05784687500278618,0.4939354508917949
34,17.5,OIS,0.005125,0.006008332080504886,0.9138437083233559,IRS,0.042499999999999996,0.059569839533500944,0.4796491397482038
35,18.0,OIS,0.00515,0.0060263819991046574,0.9110901540669567,IRS,0.043,0.0613985916598825,0.46536282860461253
36,18.5,OIS,0.005175,0.006044650789425177,0.9083365998105576,IRS,0.0435,0.06334318276643895,0.4510765174610214
37,19.0,OIS,0.005200000000000001,0.006062919579745696,0.9055830455541585,IRS,0.044,0.06541497925990056,0.4367902063174302
38,19.5,OIS,0.0052250000000000005,0.006081411247143009,0.9028294912977594,IRS,0.0445,0.06762688489635389,0.422503895173839
39,20.0,OIS,0.00525,0.006099902914540323,0.9000759370413602,IRS,0.045,0.0699936097928237,0.4082175840302478
40,20.5,OIS,0.005262500000000001,0.005984390332640643,0.8974424759761046,IRS,0.04525,0.046255604335044255,0.39898982626161517
41,21.0,OIS,0.005275,0.005868877750740964,0.894809014910849,IRS,0.0455,0.04735072247698141,0.38976206849298245
42,21.5,OIS,0.0052875000000000005,0.005886201333749064,0.8921755538455933,IRS,0.04575,0.04849895270188676,0.3805343107243498
43,22.0,OIS,0.0053,0.0059035249167571635,0.8895420927803378,IRS,0.046,0.049704254854522775,0.37130655295571713
44,22.5,OIS,0.0053125,0.005921054256097236,0.8869086317150822,IRS,0.04625,0.05097099245408569,0.36207879518708447
45,23.0,OIS,0.005325,0.005938583595437308,0.8842751706498265,IRS,0.0465,0.05230398547866142,0.3528510374184518
46,23.5,OIS,0.0053375,0.005956322378679602,0.8816417095845709,IRS,0.04675,0.053708571654613006,0.3436232796498191
47,24.0,OIS,0.00535,0.005974061161921895,0.8790082485193152,IRS,0.047,0.055190677893774916,0.33439552188118643
48,24.5,OIS,0.0053625,0.005992013165405652,0.8763747874540597,IRS,0.04725,0.05675690389431444,0.32516776411255377
49,25.0,OIS,0.005375,0.0060099651688894085,0.8737413263888041,IRS,0.0475,0.05841462039212411,0.31594000634392105
50,25.5,OIS,0.0053875,0.006028134260160911,0.8711078653235484,IRS,0.04775,0.06017208514819082,0.3067122485752884
51,26.0,OIS,0.0054,0.006046303351432414,0.8684744042582928,IRS,0.048,0.062038580523043556,0.29748449080665573
52,26.5,OIS,0.0054125,0.006064693492282558,0.8658409431930372,IRS,0.04825,0.06402457747563145,0.28825673303802307
53,27.0,OIS,0.005425,0.006083083633132702,0.8632074821277815,IRS,0.0485,0.0661419321038158,0.2790289752693904
54,27.5,OIS,0.0054375,0.006101698882234885,0.8605740210625259,IRS,0.04875,0.06840412251739969,0.2698012175007577
55,28.0,OIS,0.00545,0.006120314131337068,0.8579405599972703,IRS,0.049,0.07082653604184393,0.26057345973212503
56,28.5,OIS,0.0054624999999999995,0.006139158647404663,0.8553070989320146,IRS,0.04925,0.07342681968735618,0.2513457019634924
57,29.0,OIS,0.005475,0.006158003163472259,0.8526736378667591,IRS,0.0495,0.07622531076181671,0.24211794419485969
58,29.5,OIS,0.005487499999999999,0.006177081208296187,0.8500401768015035,IRS,0.04975,0.07924556985621015,0.232890186426227
59,30.0,OIS,0.0055,0.006196159253120115,0.8474067157362478,IRS,0.05,0.08251504576800844,0.22366242865759434
